,Number,Direction,Active,Free_bici,Free_stand,Total_stands,Ticket,Update_date,Latitude,Longitude,Folder_datetime
139,140,Campanar - Nicasio Benlloch,1,13,7,20,0,2025-04-30 23:50:05,39.48800438494039,-0.3896004206542252,2025-05-01 00:00:25
140,141,Gregorio Gea - Padre Ferris,1,6,14,20,0,2025-04-30 23:50:05,39.483268367245344,-0.3851564091174212,2025-05-01 00:00:25
141,142,Gregorio Gea - Profesor Beltrán Báguena,1,1,24,25,0,2025-04-30 23:50:05,39.48192036501599,-0.3896594261794354,2025-05-01 00:00:25
142,143,Pio XII - Menéndez PIdal (Nuevo Centro),1,0,30,30,0,2025-04-30 23:50:05,39.4795373575288,-0.3909364324170816,2025-05-01 00:00:25
143,144,Marqués de San Juan - Diputat Lluís Lucía,1,4,11,15,0,2025-04-30 23:50:05,39.4787793569025,-0.3954804480408008,2025-05-01 00:00:25
144,145,Plaza Badajoz,1,12,3,15,0,2025-04-30 23:50:05,39.48154736759815,-0.398395456094638,2025-05-01 00:00:25
145,146,Av. Campanar (La Fe),1,17,9,26,1,2024-09-09 20:44:18,39.48511037548845,-0.3909524281114989,2024-10-02 00:15:01
146,147,Pie de la Cruz - Rejas,1,0,14,15,0,2025-04-30 23:50:05,39.47320133107913,-0.3802074001545322,2025-05-01 00:00:25
147,148,C/Xàtiva 30-32,1,0,15,35,0,2025-04-30 23:50:05,39.46714522461298,-0.3753782937388751,2025-05-01 00:00:25
148,149,Peris y Valero - Salamanca,1,15,5,20,0,2025-04-30 23:50:05,39.462934287947085,-0.3617953460049966,2025-05-01 00:00:25
149,150,Manuel Candela - Rodriguez de Cepeda,1,23,2,25,0,2025-04-30 23:50:05,39.46772129856667,-0.350609303645443,2025-05-01 00:00:25
150,151,Jerónimo Monsoriu - Alcalde Cano Coloma,1,13,6,20,0,2025-04-30 23:50:05,39.464669282422186,-0.3371172603142122,2025-05-01 00:00:25
151,152,Reina Doña María - Cádiz,1,13,2,15,0,2025-04-30 23:50:05,39.460925286769694,-0.3727053849231208,2025-05-01 00:00:25
