Direction,Number,Active,Total_stands,Ticket,Latitude,Longitude
Pintor Rafael Solves - Jose Soto Mico,258.0,1.0,15.0,1.0,39.43982822413676,-0.3891374575312111
"Santa Cruz de Tenerife, 21",214.0,1.0,15.0,1.0,39.464932313028335,-0.4005764763988502
Av. del Cid - Burgos,216.0,1.0,17.0,0.0,39.469162243634074,-0.3994613007254756
Maestro Rodrigo - Manuel de Falla,222.0,1.0,20.0,0.0,39.47689335174765,-0.3972824560992083
Periodista Gil Sumbiela - Poeta Serrano Clavero,206.0,1.0,15.0,0.0,39.49271239990425,-0.3890074152428013
Jorge Comin (Metge) - Terrateig,224.0,1.0,20.0,0.0,39.480568366964896,-0.4035884743552789
"Giorgeta, 64",207.0,1.0,15.0,0.0,39.45539327294658,-0.381905420300487
Fray Junípero Serra - Vall d'Uixó,211.0,1.0,15.0,0.0,39.45872629171394,-0.3977574716661004
Av. del Cid - Marconi,264.0,1.0,20.0,1.0,39.46916033373618,-0.4144325204450301
"Plaza Luis Cano, 5",268.0,1.0,10.0,1.0,39.50144544298018,-0.4184935092704626
Archiduque Carlos - José María Mortes Lerma,213.0,1.0,15.0,0.0,39.46316530591261,-0.3969724659176386
Beniferri - Vicent Tomás Martí,267.0,1.0,16.0,0.0,39.49416841275147,-0.4059294716064297
"Campamento, 81",269.0,1.0,15.0,0.0,39.49990744160243,-0.4262635367844481
Poeta Serrano Clavero - General Llorens,230.0,1.0,15.0,0.0,39.49475040560395,-0.3867844063400111
Pio IX - Músico Cabanilles,259.0,1.0,20.0,1.0,39.44546024514969,-0.3930154660803912
Plaza Xuquer - Vinalopó,261.0,1.0,19.0,0.0,39.47667632834523,-0.3503772958816883
Levante U.D. - Ecuador,237.0,1.0,15.0,1.0,39.494758407776374,-0.3910384206358712
Florista - T4 (Palau de Congressos),239.0,1.0,20.0,1.0,39.4969854198013,-0.3999644495310733
La Vall d'Albaida - Corts Valencianes,241.0,1.0,15.0,0.0,39.49297840711153,-0.4018904586642118
Tres Cruces - Segunda República Española,249.0,1.0,15.0,0.0,39.459506295875165,-0.4027404883331656
