Direction,Number,Active,Free_bici,Free_stand,Total_stands,Ticket,Update_date,Latitude,Longitude,Folder_datetime
Ricardo Muñoz Suay - María José Victoria Fuster (C.C. El Saler),49,1,0,25,25,0,2025-04-30 23:50:05,39.45298693239739,-0.3571104198826364,2025-05-01 00:00:25
Ricardo Muñoz Suay - María José Victoria Fuster (C.C. El Saler),49,1,0,25,25,0,2025-04-30 23:39:59,39.45298693239739,-0.3571104198826364,2025-04-30 23:45:04
Ricardo Muñoz Suay - María José Victoria Fuster (C.C. El Saler),49,1,0,25,25,0,2025-04-30 23:19:46,39.45298693239739,-0.3571104198826364,2025-04-30 23:30:06
Autopista del Saler - Antonio Ferrandis (C.C. El Saler),50,1,16,24,40,0,2025-04-30 23:50:05,39.453318252515686,-0.3528593228128155,2025-05-01 00:00:25
Autopista del Saler - Antonio Ferrandis (C.C. El Saler),50,1,16,24,40,0,2025-04-30 23:39:59,39.453318252515686,-0.3528593228128155,2025-04-30 23:45:04
Autopista del Saler - Antonio Ferrandis (C.C. El Saler),50,1,14,26,40,0,2025-04-30 23:19:46,39.453318252515686,-0.3528593228128155,2025-04-30 23:30:06
Moreras (Oceanográfico),51,1,1,19,20,0,2025-04-30 23:50:05,39.45218324552497,-0.3472273049060467,2025-05-01 00:00:25
Moreras (Oceanográfico),51,1,1,19,20,0,2025-04-30 23:39:59,39.45218324552497,-0.3472273049060467,2025-04-30 23:45:04
Moreras (Oceanográfico),51,1,1,19,20,0,2025-04-30 23:19:46,39.45218324552497,-0.3472273049060467,2025-04-30 23:30:06
Luis García Berlanga Martí - Menorca,52,1,14,11,25,0,2025-04-30 23:50:05,39.45603425797373,-0.3463402980947426,2025-05-01 00:00:25
Luis García Berlanga Martí - Menorca,52,1,14,11,25,0,2025-04-30 23:39:59,39.45603425797373,-0.3463402980947426,2025-04-30 23:45:04
Luis García Berlanga Martí - Menorca,52,1,13,12,25,0,2025-04-30 23:19:46,39.45603425797373,-0.3463402980947426,2025-04-30 23:30:06
Alameda - Pintor Maella,53,1,20,5,25,0,2025-04-30 23:50:05,39.45676426141678,-0.3481393040048007,2025-05-01 00:00:25
Alameda - Pintor Maella,53,1,18,7,25,0,2025-04-30 23:39:59,39.45676426141678,-0.3481393040048007,2025-04-30 23:45:04
Alameda - Pintor Maella,53,1,19,6,25,0,2025-04-30 23:19:46,39.45676426141678,-0.3481393040048007,2025-04-30 23:30:06
Plaza de Europa,54,1,19,1,20,0,2025-04-30 23:50:05,39.459778273617445,-0.3526903171951741,2025-05-01 00:00:25
Plaza de Europa,54,1,17,3,20,0,2025-04-30 23:39:59,39.459778273617445,-0.3526903171951741,2025-04-30 23:45:04
Plaza de Europa,54,1,16,4,20,0,2025-04-30 23:19:46,39.459778273617445,-0.3526903171951741,2025-04-30 23:30:06
Francia - Pintor Maella,55,1,24,1,25,0,2025-04-30 23:50:05,39.45934326975421,-0.3486863041159564,2025-05-01 00:00:25
Francia - Pintor Maella,55,1,24,1,25,0,2025-04-30 23:39:59,39.45934326975421,-0.3486863041159564,2025-04-30 23:45:04
Francia - Pintor Maella,55,1,22,3,25,0,2025-04-30 23:19:46,39.45934326975421,-0.3486863041159564,2025-04-30 23:30:06
Francia - Menorca,56,1,0,15,15,0,2025-04-30 23:50:05,39.45842126509135,-0.3444052893928658,2025-05-01 00:00:25
Francia - Menorca,56,1,0,15,15,0,2025-04-30 23:39:59,39.45842126509135,-0.3444052893928658,2025-04-30 23:45:04
Francia - Menorca,56,1,3,12,15,0,2025-04-30 23:19:46,39.45842126509135,-0.3444052893928658,2025-04-30 23:30:06
Alameda - Pintor Monleón,57,1,7,12,20,0,2025-04-30 23:50:05,39.46447629179199,-0.3582563324315247,2025-05-01 00:00:25
Alameda - Pintor Monleón,57,1,8,11,20,0,2025-04-30 23:39:59,39.46447629179199,-0.3582563324315247,2025-04-30 23:45:04
Alameda - Pintor Monleón,57,1,8,11,20,0,2025-04-30 23:19:46,39.46447629179199,-0.3582563324315247,2025-04-30 23:30:06
Plaza España,58,1,13,7,20,0,2025-04-30 23:50:05,39.46621830848607,-0.3815864106638383,2025-05-01 00:00:25
Plaza España,58,1,11,9,20,0,2025-04-30 23:39:59,39.46621830848607,-0.3815864106638383,2025-04-30 23:45:04
