StationNumber,Weekday,HourOfDay,Avg_Free_Bici,Avg_Free_Stand
4,Monday,16,2.0952380952380953,20.94047619047619
4,Monday,17,1.7751479289940828,21.266272189349113
4,Monday,18,1.9034090909090908,21.130681818181817
4,Monday,19,1.5878594249201279,21.833865814696484
4,Monday,20,3.1052631578947367,19.830409356725145
4,Monday,21,4.4393063583815024,18.514450867052023
4,Monday,22,4.419161676646707,18.473053892215567
4,Monday,23,2.395209580838323,20.48502994011976
4,Tuesday,0,0.6611111111111111,22.322222222222223
4,Tuesday,1,0.4861878453038674,22.5414364640884
4,Tuesday,2,0.45555555555555555,22.56111111111111
4,Tuesday,3,0.423728813559322,22.627118644067796
4,Tuesday,4,0.4514285714285714,22.588571428571427
4,Tuesday,5,0.45604395604395603,22.604395604395606
4,Tuesday,6,0.5084745762711864,22.519774011299436
4,Tuesday,7,1.4545454545454546,21.573863636363637
4,Tuesday,8,6.5,16.545454545454547
4,Tuesday,9,9.630681818181818,13.4375
4,Tuesday,10,10.55367231638418,12.502824858757062
4,Tuesday,11,10.161111111111111,12.883333333333333
4,Tuesday,12,10.23121387283237,12.826589595375722
4,Tuesday,13,8.479166666666666,14.703125
4,Tuesday,14,4.502824858757062,18.559322033898304
4,Tuesday,15,1.7701149425287357,21.35632183908046
4,Tuesday,16,2.210227272727273,20.869318181818183
4,Tuesday,17,2.0107536680944134,22.958443452109723
4,Tuesday,18,2.75,20.306818181818183
4,Tuesday,19,2.9464285714285716,20.077380952380953
4,Tuesday,20,3.1040462427745665,19.930635838150287
4,Tuesday,21,4.334821428571429,18.861607142857142
4,Tuesday,22,5.165680473372781,17.857988165680474
4,Tuesday,23,2.7294117647058824,20.294117647058822
4,Wednesday,0,1.3212121212121213,21.64242424242424
4,Wednesday,1,1.1790123456790123,21.808641975308642
4,Wednesday,2,1.1158536585365855,21.865853658536587
4,Wednesday,3,0.8780487804878049,22.103658536585368
4,Wednesday,4,0.7183908045977011,22.316091954022987
4,Wednesday,5,0.7361963190184049,22.220858895705522
4,Wednesday,6,0.6687898089171974,22.273885350318473
